c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs,y_true
327.2,45.0,3.15,905.6,2.64,614.0,2.84,229.5,0.7,87.7,35,0.91,9,2.44,19.740292,18.4
350.0,42.5,3.14,802.7,2.64,996.4,2.61,185.5,0.53,0.0,40,1.34,10,2.4,40.68026,43.07
350.0,42.5,3.14,788.4,2.64,920.4,2.61,213.5,0.61,45.9,40,1.34,9,2.32,31.866467,31.34
350.0,42.5,3.14,774.1,2.64,844.5,2.61,227.5,0.65,91.7,40,1.33,9,2.22,35.140453,36.11
350.0,42.5,3.14,759.8,2.64,768.5,2.61,259.0,0.74,137.5,40,1.33,8,2.15,35.465572,37.82
350.0,42.5,3.14,713.3,2.64,996.4,2.61,199.5,0.57,45.9,40,1.33,9,2.35,24.50499,22.42
350.0,42.5,3.14,624.0,2.64,996.4,2.61,210.0,0.6,91.7,40,1.33,8,2.3,29.704676,30.79
350.0,42.5,3.14,534.6,2.64,996.4,2.61,224.0,0.64,137.5,40,1.32,8,2.23,32.0409,36.86
350.0,42.5,3.14,713.3,2.64,996.4,2.61,185.5,0.53,45.9,40,1.32,8,2.36,22.95494,15.1
350.0,42.5,3.14,624.0,2.64,996.4,2.61,182.0,0.52,91.7,40,1.31,8,2.35,26.968094,25.33
350.0,42.5,3.14,534.6,2.64,996.4,2.61,182.0,0.52,137.5,40,1.31,7,2.3,27.503218,33.41
350.0,42.5,3.14,801.0,2.6,1003.1,2.73,189.0,0.53,0.0,30,1.32,4,2.36,36.121037,37.0
350.0,42.5,3.14,750.4,2.6,855.0,2.73,213.5,0.61,61.4,30,1.32,3,2.22,26.015936,24.0
350.0,42.5,3.14,668.4,2.6,1008.3,2.73,185.5,0.53,66.9,30,1.31,3,2.3,27.651213,27.0
350.0,42.5,3.14,537.4,2.6,1018.6,2.73,178.5,0.51,135.1,30,1.31,2,2.25,24.677582,34.5
350.0,42.5,3.14,660.0,2.6,992.7,2.73,196.0,0.56,64.2,30,1.28,3,2.23,27.820713,29.5
350.0,42.5,3.14,516.7,2.6,972.1,2.73,210.0,0.6,125.7,30,1.28,2,2.09,23.677921,24.0
300.0,42.5,3.05,977.0,2.58,732.0,2.68,180.0,0.6,0.0,40,1.32,10,2.57,31.463064,31.5
300.0,42.5,3.05,977.0,2.58,538.0,2.68,180.0,0.6,99.0,40,1.32,9,2.504,13.669798,15.0
300.0,42.5,3.05,783.0,2.58,469.0,2.68,180.0,0.6,163.0,40,1.32,9,2.35,10.638934,12.0
300.0,42.5,3.05,783.0,2.58,112.0,2.68,180.0,0.6,246.0,40,1.32,8,2.222,7.087529,6.0
495.12,50.0,3.15,649.9,2.6,1024.0,2.68,201.4,0.41,0.0,32,1.3,20,2.374,39.37909,37.9
495.12,50.0,3.15,633.4,2.6,1024.0,2.68,201.4,0.41,16.2,32,1.3,19,2.374,40.08656,38.9
495.12,50.0,3.15,617.2,2.6,1024.0,2.68,201.4,0.41,32.5,32,1.3,18,2.374,46.150394,49.3
495.12,50.0,3.15,584.7,2.6,1024.0,2.68,201.4,0.41,65.0,32,1.3,17,2.374,39.286842,36.7
360.0,53.0,3.15,696.0,2.73,1164.0,2.71,180.0,0.5,0.0,29,2.14,7,2.66,33.053875,33.4
360.0,53.0,3.15,624.0,2.73,1164.0,2.71,180.0,0.5,27.5,29,2.14,10,2.51,32.965725,32.5
360.0,53.0,3.15,592.0,2.73,1164.0,2.71,180.0,0.5,41.0,29,2.14,11,2.43,30.548325,30.4
360.0,53.0,3.15,557.0,2.73,1164.0,2.71,180.0,0.5,55.0,29,2.14,12,2.29,30.009783,28.9
400.0,32.5,3.14,467.0,2.56,1340.0,2.64,190.0,0.48,0.0,30,0.87,6,2.36,22.90677,28.0
400.0,32.5,3.14,420.3,2.56,1340.0,2.64,190.0,0.48,16.3,30,0.87,6,2.34,23.37712,24.0
400.0,32.5,3.14,373.6,2.56,1340.0,2.64,190.0,0.48,32.5,30,0.87,7,2.28,21.866438,20.0
400.0,32.5,3.14,326.9,2.56,1340.0,2.64,190.0,0.48,48.8,30,0.87,8,2.15,18.04008,18.0
400.0,32.5,3.14,280.2,2.56,1340.0,2.64,190.0,0.48,65.0,30,0.87,11,2.07,16.85373,17.0
